id	en	zh	context	status
#str_300000	Unh... errrg... arrhhh... AAAAAAAAHHHH!!!	呃……唔……啊……啊啊啊——！！！		review
#str_300001	Fall back! RETREAT!!!	后撤！快撤退！！！	airdefense @ airdefense	review
#str_300002	Time ta die!	受死吧！		review
#str_300003	Aaaah! Aaaaaaah!!	啊——！啊啊啊——！！	airdefense @ airdefense	review
#str_300004	This is no place to let your guard down. C'mon, let's see if we can't find my squad up ahead.	这地方可不能放松警惕。走，去前面看看能不能找到我的小队。		review
#str_300005	I heard the dropship you Rhinos were on took a direct hit. You're lucky to still be breathing.	听说你们犀牛小队坐的运输船被直接命中了。你还能喘气，算是走大运了。	airdefense @ airdefense	review
#str_300006	We lost a lot of drop ships during the initial landing. The Strogg air defense cannons ripped us apart.	首轮登陆我们损失了不少运输船。Strogg 的防空炮把我们打得七零八落。	airdefense @ airdefense	review
#str_300007	But now it our turn right? It's time to kick some Strogg ass.	不过现在轮到我们了，对吧？是时候去揍扁那帮 Strogg 了。	airdefense @ airdefense	review
#str_300008	It would be best if you found Lt. Voss and the rest of Rhino Squad.	你最好去找 Voss 中尉和犀牛小队的其他人。		review
#str_300009	Why are you standing here? Go that way to find our squad.	还站在这儿干什么？往那边走，去找我们的小队。		review
#str_300010	Kane, you must rendezvous with our squad.	Kane，你必须去和我们小队会合。		review
#str_300011	You're needed ASAP. Colonel Westmore has been wounded in the leg.	这边急需你。Westmore 上校腿部负伤了。	airdefense @ airdefense	review
#str_300012	And I've got a Marine here with a collapsed lung.	可我这儿还有个陆战队员，肺都塌了。	airdefense @ airdefense	review
#str_300013	Westmore demanded you.	Westmore 点名要你。	airdefense @ airdefense	review
#str_300014	Then he's gonna have to wait. Anderson out.	那他也得等着。Anderson 完毕。	airdefense @ airdefense	review
#str_300015	My legs... I can't move 'em.	我的腿……动不了了。	airdefense @ airdefense	review
#str_300016	{scared}H Q, I have a man down and require a medic. H Q, come in.	{scared}总部，我这里有人员伤亡，需要医疗兵。总部，请回答。		review
#str_300017	{furrow}The damn squibs must be jamming our signal.	{furrow}肯定是那帮该死的杂碎在干扰我们的信号。		review
#str_300018	Sorry, Sarge. I had a run in with a Strogg. And I met this Marine from Rhino squad.	抱歉，中士。我半路撞上了一个 Strogg，还碰到了这位犀牛小队的弟兄。	airdefense @ airdefense	review
#str_300019	{confused}You're Rhino Squad? {idle}High tail it back to the landing site, grab your medic and bring him here.	{confused}你是犀牛小队的？{idle}赶紧跑回登陆点，把你们的医疗兵带过来。		review
#str_300020	And what the hell are you doin' without a rifle, soldier?	还有，大兵，你他妈连枪都不带是想干什么？		review
#str_300021	Here take this.	来，拿着这个。		review
#str_300022	Kane, this is Sgt. Miller. I've got a man down. Get over here ASAP.	Kane，我是 Miller 中士。我这儿有人受伤，马上过来。		review
#str_300023	Corporal Kane, this is Miller. There's an injured Marine here and I need your help.	Kane 下士，我是 Miller。这里有个陆战队员受伤了，我需要你帮忙。		review
#str_300024	This is Miller, Corporal Kane. Get over here on the double.	我是 Miller，Kane 下士。跑步过来，快！		review
#str_300025	huuuuuhhh  haaaaaa  huuuuuhhhh	呼……哈……呼……		review
#str_300026	Stay with me, Metcalf.	撑住，Metcalf。	airdefense @ airdefense	review
#str_300027	Don't you give up.	别给我放弃。	airdefense @ airdefense	review
#str_300028	Come on.	挺住。	airdefense @ airdefense	review
#str_300029	We can't lose a man with your medical skills.	像你这么好的医疗兵，我们可损失不起。	airdefense @ airdefense	review
#str_300030	{furrow}Maybe you didn't hear me, soldier. Run to the site where your ship crashed, grab the medic and bring him back here.	{furrow}你是没听清吗，大兵？跑回你们坠机的地方，把医疗兵给我带回来。		review
#str_300031	{furrow}Soldier, this man's life is depending on you. Get him a medic.	{furrow}大兵，这个人的命就靠你了。去给他找个医疗兵。		review
#str_300032	{furrow}Damn it! I gave you a direct order!! Get a medic now!!!	{furrow}妈的！我给你下的是死命令！！立刻去找医疗兵！！！		review
#str_300033	{puzzled}You're Kane, right? {idle}I'm Anderson. Our squad's already left. Go see Morris over there for orders.	{puzzled}你是 Kane 吧？{idle}我是 Anderson。小队已经出发了。去那边找 Morris 领命令。		review
#str_300034	{furrow}This is insane. There's dozens wounded and I'm tryin' to save the life of the only other medic in this area.	{furrow}这简直是疯了。几十号伤员等着，而我在抢救的，是这一带唯一的另一个医疗兵。		review
#str_300035	Found our pilot about a hundred yards from here. Looks like she died instantly.	在离这儿一百码左右找到了我们的飞行员。看样子她当场就牺牲了。	airdefense @ airdefense	review
#str_300036	I'm gonna be here a while. You go and find Rhino Squad without me.	我得在这儿忙上一阵。你别等我了，先去找犀牛小队吧。	airdefense @ airdefense	review
#str_300037	You mind backing off? I'm trying to save this man's life.	你能退后点吗？我正在救人。	airdefense @ airdefense	review
#str_300038	You really should try to find the rest of our squad.	你真该去找咱们小队的其他人了。	airdefense @ airdefense	review
#str_300039	Hold still.	别动。	anderson @ ai	review
#str_300040	Don't move.	不要动。	anderson @ ai	review
#str_300041	Stay put for a minute.	待着别动，一会儿就好。	anderson @ ai	review
#str_300042	Gimme a second to fix you up.	给我几秒，马上给你处理好。	anderson @ ai	review
#str_300043	You're good to go, Marine.	好了，上吧，大兵。	anderson @ ai	review
#str_300044	Okay, that's it.	行，搞定了。	anderson @ ai	review
#str_300045	I'm done.	处理完了。	anderson @ ai	review
#str_300046	There. Go get 'em.	好了。去收拾他们吧。	anderson @ ai	review
#str_300047	I'll fix you up, Kane.	我来给你治，Kane。	anderson @ ai	review
#str_300048	I'm on my way, Kane. You'll be back in the fight in no time.	我这就来，Kane。很快就能让你重返战斗。	anderson @ ai	review
#str_300049	Stay right there, Kane. I'll get you patched up.	待在原地，Kane。我来给你包扎。	anderson @ ai	review
#str_300050	Are you picking up our medical chips?	能收到我们的医疗芯片信号吗？	airdefense @ airdefense	review
#str_300051	Affirmative, sir. I'm reading the entire squad's medchips.	收到，长官。全队的医疗芯片信号都在。	airdefense @ airdefense	review
#str_300052	Good. Now establish an uplink with H Q. Voss out.	很好。现在和总部建立上行链路。Voss 完毕。	airdefense @ airdefense	review
#str_300053	H Q, H Q. Come in H Q. This is Rhino Squad.	总部，总部，请回答。这里是犀牛小队。	airdefense @ airdefense	review
#str_300054	H Q, do you read?	总部，能收到吗？	airdefense @ airdefense	review
#str_300055	H Q, this is Rhino Squad. Please respond.	总部，这里是犀牛小队，请回应。	airdefense @ airdefense	review
