id	en	zh	context	status
#str_100625	Your system specifications allow for %d player(s) total.	根据您的系统配置，最多可支持 %d 名玩家。		review
#str_100626	Warning	警告		review
#str_101991	Team	队伍		review
#str_102047	Server	服务器		review
#str_102087	Loading...	载入中……		review
#str_102911	Unidentified	未识别		review
#str_102916	Game Saved...	游戏已保存……		review
#str_104137	These changes will take effect the next time you run Quake 4.	更改将在返回主菜单时立即生效。		review
#str_104141	UNABLE TO LOCATE 3D AUDIO	无法找到 3D 音频		review
#str_104142	Surround speakers not found.\nMake sure the speaker settings are configured properly in the Windows Control Panel.	未找到环绕声扬声器。\n请确保已在 Windows 控制面板中正确配置扬声器设置。		review
#str_104247	Ready	已准备		review
#str_104248	Not Ready	未准备		review
#str_104249	Enter the game	进入游戏		review
#str_104250	Spectate	观战		review
#str_104253	Find the exit	找到出口		review
#str_104254	Allow Spectators	允许观战		review
#str_104255	No Spectators	禁止观战		review
#str_104256	Change map to %s	将地图更换为 %s		review
#str_104257	Can't kick the server host	无法踢出服务器主机		review
#str_104258	Change Game type to %s	将游戏类型更改为 %s		review
#str_104259	Already at the voted Game Type	当前已是所投票的游戏类型		review
#str_104260	Tourney Limit value is out of range	锦标赛限制值超出范围		review
#str_104261	Already at the voted Tourney Limit	当前已是所投票的锦标赛限制		review
#str_104265	Frag Limit	击杀上限		review
#str_104266	Frag Limit value is out of range	击杀上限值超出范围		review
#str_104267	Already at the voted Frag Limit	当前已是所投票的击杀上限		review
#str_104268	Set Time Limit to %d	将时间限制设为 %d		review
#str_104269	Time Limit value is out of range	时间限制值超出范围		review
#str_104270	Already at the voted Time Limit	当前已是所投票的时间限制		review
#str_104271	Restart Map	重新开始地图		review
#str_104272	Next Map	下一张地图		review
#str_104273	There is already a vote in progress	已有一项投票正在进行		review
#str_104274	Already voted or not allowed to vote	已投过票或无权投票		review
#str_104275	No vote in progress	当前没有正在进行的投票		review
#str_104276	Vote aborted	投票已中止		review
#str_104277	Vote passed	投票通过		review
#str_104278	Vote failed	投票未通过		review
#str_104279	%s^0 called a vote!	%s^0 发起了投票！		review
#str_104280	%s^0 joined %s team	%s^0 加入了 %s 队		review
#str_104281	%s^0 has reached the frag limit	%s^0 已达到击杀上限		review
#str_104284	Time limit hit	已达到时间限制		review
#str_104285	%s^0 joined the spectators	%s^0 加入了观战		review
#str_104286	Server forced %s^0 to ready up	服务器强制 %s^0 进入准备状态		review
#str_104287	Sudden Death!	骤死赛！		review
#str_104288	Vote now!	立即投票！		review
#str_104289	%s^0 died	%s^0 死亡		review
#str_104290	%s^0 was telefragged by %s	%s^0 被 %s 传送击杀		review
#str_104291	%s^0 was killed by teammate %s	%s^0 被队友 %s 击杀		review
#str_104292	%s^0 was killed by %s	%s^0 被 %s 击杀		review
#str_104293	%s^0 committed suicide	%s^0 自杀		review
#str_104294	No map cycle defined in g_mapCycle, next map command aborted\n	g_mapCycle 中未定义地图循环，下一张地图命令已中止\n		review
#str_104295	Already running the voted map %s	当前已在运行所投票的地图 %s		review
#str_104296	Map not found: %s	未找到地图：%s		review
#str_104297	Unknown vote index %s	未知的投票索引 %s		review
#str_104299	Changing %s too fast. Wait %d seconds	更改 %s 过于频繁，请等待 %d 秒		review
#str_104300	ready	已准备		review
#str_104301	not ready	未准备		review
#str_104302	Kick player %d ( %s^0 )	踢出玩家 %d（%s^0）		review
#str_104303	Set %s to %d	将 %s 设为 %d		review
#str_104304	The CD Key you entered is missing or incomplete. The CD Key is located on your CD jewel case.	您输入的 CD Key 缺失或不完整。CD Key 位于 CD 包装盒上。		review
#str_104305	CD Key	CD Key		review
#str_104307	The CD Key you entered appears to be valid. Activision will never ask you for your CD key.  Don't tell it to anyone!  Don't lose your CD Key!	您输入的 CD Key 似乎有效。Activision 绝不会向您索要 CD Key。请勿告诉任何人！请勿丢失您的 CD Key！		review
#str_104308	Please enter your CD key - see your CD jewel case or game manual	请输入您的 CD Key——参见 CD 包装盒或游戏手册		review
#str_104310	CD Key is invalid	CD Key 无效		review
#str_104311	You must be alive to save the game.	必须存活才能保存游戏。		review
#str_104312	Unable to save	无法保存		review
#str_104313	Not enough drive space to save the game.	磁盘空间不足，无法保存游戏。		review
#str_104314	Warning	警告		review
#str_104315	Your connection settings allow for %d player(s) total.	根据您的连接设置，最多可支持 %d 名玩家。		review
#str_104316	Lowered the number of players	已下调玩家数量		review
#str_104317	Server is loading next map	服务器正在载入下一张地图		review
#str_104318	Please wait...	请稍候……		review
#str_104319	Disconnected from server	已与服务器断开连接		review
