str_id	sound	map	english	chinese	source
str_380000	vo_1_1_1_68_1	airdefense1	This is Sgt. Miller. I'm takin' Condor Squad in to clear out the facility.	我是 Miller 中士。我带神鹰小队进去清剿这处设施。（基地警报：警告！敌方来袭！）	sndshd
str_380001	vo_1_1_2_06_1	airdefense1	We're a lost cause! Do not attempt to evac us.	我们没救了！不要试图撤离我们。	sndshd
str_380002	vo_1_1_3_51_1	airdefense1	Armadillo Squad, you have to flank left. Flank left, damn it!	犰狳小队，你们得从左翼包抄。从左翼包抄，妈的！	sndshd
str_380003	vo_1_1_3_56_2	airdefense1	Comm uplink has been established and systems are in the green. Proceed to your first target Bison squad.	通讯上行链路已建立，各系统状态正常。野牛小队，向你们的第一个目标推进。	sndshd
str_380004	vo_1_1_3_58_1	airdefense1	Viper squad, this is H Q. Mantis squad is M I A and unresponsive. Fall back to rally point alpha niner four.	毒蛇小队，这里是总部。螳螂小队已失踪，无法取得联络。撤退到集结点 Alpha 94。	sndshd
str_380005	vo_1_1_1_70_1	airdefense2	Mayday! Mayday! This is the U.S.S. Patton - we have sustained heavy damage...	求救！求救！这里是 U.S.S. Patton 号——我们受创严重……	sndshd
str_380006	vo_1_1_1_72_1	airdefense2	... aircraft loss of 65%. We're taking a lot of heat from the air defense cannon. Ground based troops...	……飞行器损失 65%。防空炮的火力压得我们抬不起头。地面部队……	sndshd
str_380007	vo_1_1_2_02_1	airdefense2	HQ, we can't advance. Dust is clogging the intakes of the hover tanks.	总部，我们无法前进。沙尘堵住了悬浮坦克的进气口。	sndshd
str_380008	vo_1_1_2_04_1	airdefense2	We're being overrun! Launch an air strike on my position now!	我们快被冲垮了！立刻对我的位置发动空袭！	sndshd
str_380009	vo_1_1_3_01_1	airdefense2	Kane! This is Sgt. Bidwell. We need you here ASAP. We've gotta bring the air defense cannon down.	Kane！我是 Bidwell 中士。你得尽快赶过来。我们必须把防空炮打掉。	sndshd
str_380010	vo_1_1_3_04_1	airdefense2	What's the hold up, Kane? Find us immediately.	磨蹭什么呢，Kane？马上来找我们。	sndshd
str_380011	vo_1_1_3_04_2	airdefense2	Kane, this is Sgt. Bidwell. Stop pissin' around and hook up with us.	Kane，我是 Bidwell 中士。别瞎晃悠了，赶紧跟我们会合。	sndshd
str_380012	vo_1_1_3_04_3	airdefense2	Kane, this is Bidwell. Don't make me come lookin' for you.	Kane，我是 Bidwell。别逼我亲自去找你。	sndshd
str_380013	vo_1_1_3_30_1	airdefense2	Walker Squad Bison, advance. Fire at will.	野牛机甲小队，前进。自由开火。	sndshd
str_380014	vo_1_1_3_63_2	airdefense2	We copy that, bison squad. You are cleared to aid the foot soldiers.	收到，野牛小队。批准你们支援步兵。	sndshd
str_380015	vo_1_1_3_65_5	airdefense2	H Q, this is Bison Squad. The situation is under control.	总部，这里是野牛小队。局势已在掌控之中。	sndshd
str_380016	vo_1_1_3_80_4	airdefense2	Sgt. Bidwell, this is Voss. I think I've found a way to get at that cannon. Can you reach Kane?	Bidwell 中士，我是 Voss。我好像找到对付那门炮的办法了。你能联系上 Kane 吗？	sndshd
str_380017	vo_1_1_3_80_6	airdefense2	Good. Kane, go to the Strogg hangars. Viper squad will rendezvous with you there. If you can take out the launching bays, the fliers won't be a problem. Voss out.	很好。Kane，前往 Strogg 机库。毒蛇小队会在那里和你会合。只要能端掉发射舱，那些飞行器就不足为患了。Voss 完毕。	sndshd
str_380018	vo_002_bravoteam	building_b	Bravo Team here! We've got a situaton in alpha niner. Requesting backup for the  . . . Oh, God, just send backup now!	这里是 Bravo 小队！Alpha 9 区出状况了。请求增援，我们……哦，天哪，快派增援来就是了！	sndshd
str_380019	vo_002_headsup	building_b	Heads up. The Strogg are breaking through our perimiter. They'll be on us in 3...2...1	注意。Strogg 正在突破我们的防线。他们马上杀到，3……2……1	sndshd
str_380020	vo_1_1_13_2_0001	building_b	HQ, this is Fox Squad in sector 6A. We have engaged the Strogg.	总部，这里是 6A 区的狐狸小队。我们已与 Strogg 交火。	sndshd
str_380021	vo_1_1_13_2_0002	building_b	Do you require assistance?	需要支援吗？	sndshd
str_380022	vo_1_1_13_2_0003	building_b	Affirmative. Send an additional squad immediately.	确认。请立即增派一个小队。	sndshd
str_380023	vo_1_1_13_4_0001	building_b	HQ, HQ, our squad's pinned down and meeting heavy resistance. We've run out of... aaaah!	总部，总部，我们小队被火力压制，遭遇顽强抵抗。我们已经打光了……啊——！	sndshd
str_380024	vo_1_1_13_5_0001	building_b	Sarge. We got movement - at bearing 221. I count six signals.	中士，发现动静——方位 221。我数到六个信号。	sndshd
str_380025	vo_1_1_13_5_0002	building_b	I want a straight V formation. Holtz, you take point.	给我摆一个标准 V 字队形。Holtz，你当尖兵。	sndshd
str_380026	vo_1_1_13_5_0003	building_b	Got it.	明白。	sndshd
str_380027	vo_1_1_13_5_0004	building_b	Don't bunch up and remember to check the ceilings.	别扎堆，记得留意天花板。	sndshd
str_380028	vo_1_1_13_6_0001	building_b	Destroyer, U.S.S. Madison, has achieved sub-orbital position. Com-links established with primary tactical operation HQs. All company commanders transmit sit-reps immediately.	驱逐舰 U.S.S. Madison 号已进入亚轨道位置。已与各主要战术指挥总部建立通讯链路。全体连指挥官立即上报战况。	sndshd
str_380029	vo_1_1_13_7_0000	building_b	HQ, we have engaged the Strogg.	总部，我们已与 Strogg 交火。	sndshd
str_380030	vo_1_1_13_7_0001	building_b	Roger that. We read you at sector 25 L.	收到。我们确认你们位于 25L 区。	sndshd
str_380031	vo_1_1_13_7_0002	building_b	Affirmative, HQ. We're meeting heavy resistance.	确认，总部。我们遭遇顽强抵抗。	sndshd
str_380032	vo_1_1_13_7_0003	building_b	Watch the left flank!	注意左翼！	sndshd
str_380033	vo_1_1_13_7_0004	building_b	Over here!	这边！	sndshd
str_380034	vo_1_1_13_7_0005	building_b	Throw a charge!	扔炸药包！	sndshd
str_380035	vo_1_1_13_7_0006	building_b	Get down!	趴下！	sndshd
str_380036	vo_1_1_13_7_0007	building_b	Do you require reinforcements? Silence.	你们需要增援吗？（无人应答）	sndshd
str_380037	vo_1_1_13_7_0008	building_b	I repeat. Do you require reinforcements?	重复一遍。你们需要增援吗？	sndshd
str_380038	vo_1_1_13_7_0009	building_b	Negative. The situation is under control.	不需要。局势已在掌控之中。	sndshd
str_380039	vo_1_1_7_0001	building_b	This is Famine Convoy, grid is down.	这里是饥荒车队，防御网已瘫痪。	sndshd
