str_id	sound	map	english	chinese	source
str_385000	vo_1_1_12_0001	building_b	What the hell? They got to main power!	搞什么鬼？它们把主电源弄断了！	sndshd
str_385001	vo_1_1_12_0003	building_b	Watch the ceilings.	注意天花板。	sndshd
str_385002	vo_1_1_12_0005	building_b	Gimme a second.	等我一下。	sndshd
str_385003	vo_1_1_12_0006	building_b	Scanner reads clear. They're gone.	扫描仪显示无异常。它们走了。	sndshd
str_385004	vo_1_1_13_20_1	building_b	Corporal Kane, Voss wanted me to give you this Strogg nailgun. I bet it can sure rip the shit out of a squib.	Kane 下士，Voss 让我把这把 Strogg 钉枪交给你。我敢说这玩意儿准能把杂碎撕个稀烂。	sndshd
str_385005	vo_1_1_1_140_1	airdefense1	This is no place to let your guard down. C'mon, let's see if we can't find my group up ahead - Badger squad.	这地方可不敢放松警惕。走，看看能不能在前头找到我的队伍——猛獾小队。	sndshd
str_385006	vo_1_1_1_150_1	airdefense1	I heard the dropship you Rhinos were on took a direct hit. You're lucky to still be breathing.	听说你们犀牛小队坐的运输船被直接命中了。你还能喘气，算是走大运了。	sndshd
str_385007	vo_1_1_1_150_2	airdefense1	We lost a lot of drop ships during the initial landing. The Strogg air defense cannons ripped us apart.	首轮登陆我们损失了不少运输船。Strogg 的防空炮把我们打得七零八落。	sndshd
str_385008	vo_1_1_1_150_3	airdefense1	But now it our turn right? It's time to kick some Strogg ass.	不过现在轮到我们了，对吧？是时候去揍扁那帮 Strogg 了。	sndshd
str_385009	vo_1_1_1_170_1	airdefense1	My legs... I can't move 'em.	我的腿……动不了了。	sndshd
str_385010	vo_1_1_1_170_4	airdefense1	Sorry, Sarge. I had a run-in with a Strogg. And I met this Marine from Rhino squad.	抱歉，中士。我半路跟一个 Strogg 干了一架，还碰上了这位犀牛小队的陆战队员。	sndshd
str_385011	vo_1_1_1_43_1	airdefense	Come on!	快跟上！	sndshd
str_385012	vo_1_1_1_44_1	airdefense	We're clear. Why don't you go find your squad.	安全了。你去找你的小队吧。	sndshd
str_385013	vo_1_1_1_45_1	airdefense	Kane, we're done here. Go find Lt. Voss.	Kane，这边完事了。去找 Voss 中尉吧。	sndshd
str_385014	vo_1_1_2_0001	building_b	Ahhh... aaaaah... uuuuh...	啊……啊……呃……	sndshd
str_385015	vo_1_1_2_50_2	airdefense+airdefense1	My legs... they're numb.	我的腿……没知觉了。	sndshd
str_385016	vo_1_1_2_50_6	airdefense	You're Rhino squad? Take that door and it'll get you to your squad.	{puzzled}你是犀牛小队的？{idle}走那扇门，就能找到你的小队。	sndshd
str_385017	vo_1_1_3_0002	building_b	Seal it! Seal the damn window now!	封上！马上把那扇该死的窗户封上！	sndshd
str_385018	vo_1_1_3_0003	building_b	Where the hell did that come from?	{confused}那玩意儿到底是从哪儿冒出来的？	sndshd
str_385019	vo_1_1_3_0004	building_b	Don't know. But we better inform the Sarge.	不知道。不过最好向中士报告一声。	sndshd
str_385020	vo_1_1_3_40_1	airdefense	Come on! Come on!!	来啊！来啊！！	sndshd
str_385021	vo_1_1_4_0001	building_b	Sarge, we got movement on the scanner.	中士，扫描仪上有动静。	sndshd
str_385022	vo_1_1_4_0006	building_b	Scanner's clean. Whatever it was, it's gone.	扫描仪没有异常。不管刚才是什么，已经不见了。	sndshd
str_385023	vo_1_1_8_0005	building_b	Wait here. Jones, you take point.	在这儿等着。Jones，你打头。	sndshd
str_385024	vo_1_1_8_5_0002	building_b	Primary lock is cut.	主锁已切开。	sndshd
str_385025	vo_1_1_8_5_0003	building_b	Secondary lock is cut.	副锁已切开。	sndshd
str_385026	vo_1_1_8_5_0004	building_b	Cutting final interlock.	正在切最后一道联锁。	sndshd
str_385027	vo_1_1_8_5_0005	building_b	Done.	搞定。	sndshd
str_385028	vo_1_2_0_20_1	convoy1	Hey! Hey, Corporal Kane! Get over here on the double!	嘿！嘿，Kane 下士！跑步过来，快点！	sndshd
str_385029	vo_1_2_0_30_1	convoy1	Corporal Kane, Lieutenant Voss said you'd be riding with us. Hop on up and we'll get going.	Kane 下士，Voss 中尉说了你搭我们的车。上来吧，这就出发。	sndshd
str_385030	vo_1_2_0_40_1	convoy1	All right, Doyle. Get this shit heap moving.	好了，Doyle，把这堆破铜烂铁开起来。	sndshd
str_385031	vo_1_2_0_40_2	convoy1	Roger that. Let's move out.	收到。出发。	sndshd
str_385032	vo_1_2_0_42_1	convoy1	You got any idea how far into Strogg territory these convoys are goin?	你知道这些车队要往 Strogg 的地盘里开多深吗？	sndshd
str_385033	vo_1_2_0_42_2	convoy1	Far enough that youre gonna have to be fluent in Strogg if you wanna ask for directions.	深到你要是想问个路，就得会说一口流利的 Strogg 语。	sndshd
str_385034	vo_1_2_0_42_3	convoy1	Guess we better not get lost, huh?	看来咱们最好别迷路，是吧？	sndshd
str_385035	vo_1_2_0_42_4	convoy1	You got that right.	说得没错。	sndshd
str_385036	vo_1_2_0_43_1	convoy1	Kane here was with the squad that took that cannon out.	这位 Kane，就是端掉那门炮的小队里的人。	sndshd
str_385037	vo_1_2_0_43_2	convoy1	No shit? Nice work, soldier.	真的假的？干得漂亮，士兵。	sndshd
str_385038	vo_1_2_0_44_1	convoy1	We got nothin to worry about  Rhino squad is here. Right, Kane?	咱们没啥好担心的——犀牛小队在这儿呢。对吧，Kane？	sndshd
str_385039	vo_1_2_0_44_2	convoy1	Yeah, you boys have pulled off all sorts of impossible shit, havent you?	是啊，你们这帮小子什么不可能的破事都干成过，不是吗？	sndshd
str_385040	vo_1_2_0_44_3	convoy1	Theyre still talkin about what Rhino did in Dallas, during the Earth invasion.	大伙儿到现在还在念叨地球入侵战那会儿，犀牛小队在 Dallas 干的那一票。	sndshd
str_385041	vo_1_2_0_45_1	convoy1	Cut the chatter, gentlemen, and keep your eyes wide. Theres reports of Strogg in this area.	少闲聊，各位，眼睛都放亮点。有报告说这一带有 Strogg 出没。	sndshd
str_385042	vo_1_2_0_46_1	convoy1	Have you heard how things are going along the front?	你听说前线的战况了吗？	sndshd
str_385043	vo_1_2_0_46_2	convoy1	Same as usual. Soldiers are fightin and dyin and neither sides winnin.	老样子。弟兄们打着、死着，两边谁也赢不了。	sndshd
str_385044	vo_1_2_0_46_3	convoy1	The thing is though, we cant keep this battle up much longer. Weve got to win it soon or were just gonna run out of men.	可问题是，这场仗我们撑不了多久了。必须尽快赢下来，不然人手就要打光了。	sndshd
str_385045	vo_1_2_0_46_4	convoy1	And thats exactly why these convoys are going out - to tip the scales in our favor.	而这正是派出这些车队的原因——把天平扳向我们这边。	sndshd
str_385046	vo_1_2_0_49_1	convoy1	Our guys are really cleaning up the fliers since you blew up the hangars, Kane.	{happy}自打你把机库炸了，咱们的人收拾起飞行器来那叫一个痛快，Kane。	sndshd
str_385047	vo_1_2_0_64_1	convoy1	This is Walker 12 of Bison squad. Got a bogie at 6 oclock.	这里是野牛小队 「步行者」（walker） 12。六点钟方向发现不明目标。	sndshd
str_385048	vo_1_2_0_70_10	convoy1	You can get off, Kane. This is your stop.	可以下车了，Kane。你到站了。	sndshd
str_385049	vo_1_2_0_80_10	convoy1	See you around.	回头见。	sndshd
str_385050	vo_1_2_14_40_3	hub1	Kane, youre assigned to Strauss. Voss out.	Kane，你被派给 Strauss 了。Voss 完毕。	sndshd
str_385051	vo_1_2_14_80_1	hub1	All right. Convoy, move forward. Kane, get Strauss to the controls for Door 2.	好了。车队，前进。Kane，带 Strauss 去 2 号门的控制台。	sndshd
str_385052	vo_1_2_15_10_1	hub1	Lt. Voss, uh...what should we do?	Voss 中尉，呃……我们该怎么办？	sndshd
str_385053	vo_1_2_15_10_2	hub1	Leave them alone, these repair bots are harmless.	别理它们，这些维修机器人没有危害。	sndshd
