str_id	sound	map	english	chinese	source	speaker

str_386000	vo_1_1_11_220_2	mcc_1	Report to life support services immediately - they're having a problem with a purification unit.	立即到生命维持部门报到——净化装置出故障了。	sndshd	

str_386001	vo_1_1_11_230_2	mcc_1	Reroute the energy stabilizers. Wait two seconds and then purge 'em. The hit will cause the system to depolarize.	重新路由能量稳定器。等两秒再排空。这一下会让系统退磁。	sndshd	

str_386002	vo_1_1_11_230_4	mcc_1	Kid, I know what this ship can and can't do.	小子，这艘船能干什么不能干什么，我心里有数。	sndshd	

str_386003	vo_1_1_11_230_6	mcc_1	Power restored in 3... 2... 1.	动力恢复：3……2……1。	sndshd	

str_386004	vo_1_1_11_230_8	mcc_1	Of course it worked. Now recalibrate that console, then get back here.	当然成。现在重新校准那个控制台，然后回来。	sndshd	

str_386005	vo_1_1_11_250_4	mcc_1	The glitch is in that sector.	故障在那个区域。	sndshd	

str_386006	vo_1_1_11_260_2	mcc_1	Nope. It's at 54%.	不对。54%。	sndshd	

str_386007	vo_1_1_11_260_4	mcc_1	74%.	74%。	sndshd	

str_386008	vo_1_1_11_260_6	mcc_1	Now it's at 83%.	现在 83%。	sndshd	

str_386009	vo_1_1_11_300_1	mcc_1	Private Mark Lorenzi, please report to medical bay 3.	马克 洛伦齐列兵，请到三号医疗舱报到。	sndshd	

str_386010	vo_1_1_11_310_1	mcc_1	Lt.Voss, report to briefing room 8.	沃斯中尉，到八号简报室报到。	sndshd	

str_386011	vo_1_1_11_320_1	mcc_1	Memorial Services for Colonel Westmore will be held at oh eight hundred hours.	威斯特摩上校的追悼会将于八点整举行。	sndshd	

str_386012	vo_1_1_11_330_1	mcc_1	Bison Squad, report to walker deck 2 immediately.	「野牛」小队，立即到二号 「步行者」甲板报到。	sndshd	

str_386013	vo_1_1_11_332_1	mcc_1	Testing launch PODs 1 and 2.	测试一号、二号发射舱。	sndshd	

str_386014	vo_1_1_11_340_2	mcc_1	My team is pinned down by heavy fire. I'm requesting an artillery strike on a Strogg bunker.	我小队被猛烈火力压制。请求对 Strogg 碉堡实施炮击。	sndshd	Looms

str_386015	vo_1_1_11_350_2	mcc_1	Great, so where's my squad located?	好，那我小队在哪儿？	sndshd	Looms

str_386016	vo_1_1_11_350_4	mcc_1	Okay, let 'em know I'm on my way.	行，告诉他们我马上到。	sndshd	Looms

str_386017	vo_1_1_11_350_6	mcc_1	Thanks for the help. Looms out.	多谢帮忙。卢姆斯完毕。	sndshd	Looms

str_386018	vo_1_1_11_35_1	mcc_1	Crew Chief Hammond, report to walker bay 8D immediately.	哈蒙德轮机长，立即到 8D 「步行者」舱报到。	sndshd	

str_386019	vo_1_1_11_35_2	mcc_1	A welding crew is needed in armament.	武器舱需要一组焊接工。	sndshd	

str_386020	vo_1_1_11_35_3	mcc_1	All walkers for Bison Squad will need to be pre-prepped by oh four hundred hours.	「野牛」小队的所有 「步行者」须在四点整前完成预备整备。	sndshd	

str_386021	vo_1_1_11_35_4	mcc_1	Specialist Herman Ways, report to the main office immediately.	赫尔曼 韦斯专业兵，立即到总办公室报到。	sndshd	

str_386022	vo_1_1_11_35_5	mcc_1	A computer tech is needed in walker bay 6C.	6C 「步行者」舱需要一名计算机技术员。	sndshd	

str_386023	vo_1_1_11_35_6	mcc_1	Crew Chief Hanks, call 232. Crew Chief Hanks, call 232.	汉克斯轮机长，呼叫 232。汉克斯轮机长，呼叫 232。	sndshd	

str_386024	vo_1_1_11_380_1	mcc_1	Signal check for pestilence.	「瘟疫」信号检查。	sndshd	

str_386025	vo_1_1_11_380_3	mcc_1	Roger that. Switching to 4 6 1.	收到。切换到 461。	sndshd	

str_386026	vo_1_1_11_395_1	mcc_1	I'm a scout on special assignment.	我是执行特殊任务的侦察兵。	sndshd	侦察兵

str_386027	vo_1_1_11_395_3	mcc_1	Tell General Harper that there should be no problem entering the Hub from the lower level.	告诉哈珀将军，从下层进入枢纽应该不会有问题。	sndshd	侦察兵

str_386028	vo_1_1_11_40_4	mcc_1	The back shields cut out.	后部护盾断了。	sndshd	机甲驾驶员

str_386029	vo_1_1_11_40_6	mcc_1	Primary emitter is in the green.	主发射器状态正常。	sndshd	机甲驾驶员

str_386030	vo_1_1_11_40_8	mcc_1	Secondary emitters check out.	副发射器检查通过。	sndshd	机甲驾驶员

str_386076	vo_1_1_11_40_10	mcc_1	At 95%.	百分之九十五。	sndshd	机甲驾驶员

