vo_1_1_1_68_1	Miller
vo_1_1_3_58_1	总部
vo_1_1_3_01_1	Bidwell
vo_1_1_3_04_2	Bidwell
vo_1_1_3_04_3	Bidwell
vo_1_1_3_65_5	野牛小队
vo_1_1_3_80_4	Voss
vo_1_1_3_80_6	Voss
vo_002_bravoteam	Bravo 小队
vo_1_1_13_2_0001	狐狸小队
vo_1_1_7_0001	饥荒车队
vo_1_1_7_0002	瘟疫车队
vo_1_1_7_0003	战争车队
vo_1_1_7_0006	Bidwell
vo_1_1_5_100_1	Morris
vo_1_1_5_140_1	Morris
vo_1_1_6_80_3	Morris
vo_1_2_14_10_1	Voss
vo_1_2_14_72_5	Voss
vo_1_2_17_10_7	Strauss
vo_1_2_18_20_1	Strauss
vo_1_2_22_40_1	Strauss
vo_1_1_11_100_2	消毒室播报
vo_1_1_11_100_3	消毒室播报
vo_1_1_11_100_4	消毒室播报
vo_1_1_11_100_5	消毒室播报
vo_1_1_11_360_4	Richards
vo_2_2_10_257_1	野牛小队指挥官
vo_2_2_10_258_1	总部
vo_1_1_7_100_1	Morris
vo_1_1_7_50_1	Morris
vo_2_1_1_67_3	Voss
vo_3_1_20_60_1	猎鹰 6 号
vo_3_1_14_10_1	Morris
vo_3_1_14_30_1	Morris
vo_3_1_14_60_1	Morris
vo_3_1_14_6_1	Morris
vo_3_1_14_70_1	Strauss
vo_3_1_15_50_3	Strauss
vo_3_1_1_70_1	Hollenbeck
vo_3_1_1_85_1	眼镜蛇小队
vo_3_1_2_35_1	棕熊小队
vo_3_1_3_170_1	Rhodes
vo_3_1_3_170_3	Rhodes
vo_3_1_3_50_1	猎鹰一号
vo_3_1_3_50_2	猎鹰一号
vo_3_1_3_50_3	猎鹰一号
vo_3_1_4_80_1	Strauss
vo_3_1_2_125_1	眼镜蛇小队
vo_3_1_2_180_1	Hollenbeck
vo_3_1_5_1_1	天蝎小队
vo_3_1_5_1_4	总部
vo_2_1_2_230_1	毒蛇小队
vo_2_1_2_240_1	雄鹰十七号
vo_2_1_2_320_1	棕熊小队
vo_2_1_2_340_1	雄鹰十二号
vo_1_2_0_10_1	Voss
vo_1_2_0_11_1	雄鹰 3 号
vo_1_2_0_16_1	野牛小队
vo_1_2_0_90_1	Voss
vo_1_2_1_105_1	饥荒车队
vo_1_2_1_115_1	战争车队
vo_1_2_1_120_1	Voss
vo_1_2_1_125_1	雄鹰 8 号
vo_1_2_1_135_1	死亡车队
vo_1_2_1_145_1	战争车队
vo_1_2_1_147_1	雄鹰 9 号
vo_1_2_1_147_4	战争车队
vo_1_2_1_150_1	瘟疫车队
vo_1_2_1_170_1	总部
vo_1_2_1_170_3	总部
vo_1_2_1_200_1	Voss
vo_1_2_1_200_2	饥荒车队
vo_1_2_1_200_3	总部
vo_1_2_1_200_5	Voss
vo_1_2_3_30_1	Voss
vo_pa_dispersal_10	敌军广播
vo_pa_dispersal_100	敌军广播
vo_pa_dispersal_20	敌军广播
vo_pa_dispersal_30	敌军广播
vo_pa_dispersal_40	敌军广播
vo_pa_dispersal_50	敌军广播
vo_pa_dispersal_60	敌军广播
vo_pa_dispersal_70	敌军广播
vo_pa_dispersal_80	敌军广播
vo_pa_dispersal_90	敌军广播
vo_pa_med_10	敌军广播
vo_pa_med_20	敌军广播
vo_pa_med_30	敌军广播
vo_pa_med_40	敌军广播
vo_pa_med_50	敌军广播
vo_pa_med_60	敌军广播
vo_pa_med_70	敌军广播
vo_pa_med_80	敌军广播
vo_pa_network1_10	敌军广播
vo_pa_network1_20	敌军广播
vo_pa_network1_30	敌军广播
vo_pa_network2_10	敌军广播
vo_pa_network2_20	敌军广播
vo_pa_network2_30	敌军广播
vo_pa_network2_40	敌军广播
vo_pa_network2_50	敌军广播
vo_pa_process1_10	敌军广播
vo_pa_process1_20	敌军广播
vo_pa_process1_30	敌军广播
vo_pa_process1_40	敌军广播
vo_pa_process1_50	敌军广播
vo_pa_process2_10	敌军广播
vo_pa_process2_20	敌军广播
vo_pa_process2_30	敌军广播
vo_pa_process2_40	敌军广播
vo_pa_process2_50	敌军广播
vo_pa_process2_60	敌军广播
vo_pa_putra_10	敌军广播
vo_pa_putra_20	敌军广播
